级别,舷号,舰名,类型,原舰别,原舰名及舷号,移交,退役,备注
,"96
FF-78",逸仙,战后归还舰,,,1946,1958,抗战前为轻巡洋舰，抗战期间为日军掳获并改名为阿多田，战后归还。
安字级巡防舰,PF-77,临安,日本赔偿舰,択捉型海防舰（日语：択捉型海防艦）,対马,1947,1957,
安字级巡防舰,,长白→固安,日本赔偿舰,択捉型海防舰（日语：択捉型海防艦）,隠岐,1947,,后为解放军所掳获，成为长白号护卫舰，1982年除役
安字级巡防舰,,,日本赔偿舰,日本丁型海防舰,14号,1947,,接5号舰，未成军，后为解放军所掳获，命名为武昌
安字级巡防舰,PF-72,成安,日本赔偿舰,日本丁型海防舰,40号,1947,1958,
安字级巡防舰,PF-71,泰安,日本赔偿舰,日本丁型海防舰,104号,1947,1958,
安字级巡防舰,,,日本赔偿舰,日本丁型海防舰,118号,1947,,接12号舰，未成军，后为解放军所掳获，命名为长沙
安字级巡防舰,,同安,日本赔偿舰,日本丁型海防舰,192号,1947,,
安字级巡防舰,,威海,日本赔偿舰,日本丁型海防舰,194号,1947,,"1949年因江阴要塞司令叛变,突围长江口时躲避解放军炮火而误搁浅遭掳，后解放军修复并命名为济南"
安字级巡防舰,,,日本赔偿舰,日本丁型海防舰,198号,1947,,接14号舰，未成军，后为解放军所掳获，命名为西安
安字级巡防舰,PF-73,营口→瑞安,日本赔偿舰,日本丙型海防舰,67号,1947,1955,
安字级巡防舰,,辽海,日本赔偿舰,日本丙型海防舰,215号,1947,1955,1948年交教育部转交国立辽海商船专科学校做为练习船，1953年加入海军服役
安字级巡防舰,,吉安,日本赔偿舰,日本丙型海防舰,85号,1947,,1949叛逃至解放军后遭轰沈
安字级巡防舰,PF-75,长安→新安,日本赔偿舰,日本丙型海防舰,205号,1947,1950,1948年改名新安
安字级巡防舰,,黄安,日本赔偿舰,日本丙型海防舰,81号,1947,,1949叛逃至解放军，改名沈阳
安字级巡防舰,PF-74,潮安,日本赔偿舰,日本丙型海防舰,107号,1947,1954,
安字级巡防舰,,惠安,日本赔偿舰,日本日振型海防舰（日语：日振型海防艦）,四阪,1947,,1949叛逃至解放军，轰沉后修复，仍命名为惠安，1990年除役
安字级巡防舰,PF-76,雪峰→威台→正安,日本赔偿舰,日本御藏型海防舰（日语：御蔵型海防艦）,屋代,1947,1958,
安字级巡防舰,PF-81,德安,购入舰,加拿大所拥有之英国城堡级护卫舰,HMCSOrangeville(K491),,,招商局以商船名义购买，原名锡麟
"安字级巡防舰
两栖通讯指挥舰","PF-80
LCC-11",高安→率真,购入舰,加拿大所拥有之英国城堡级护卫舰,HMCSTillsonburg(K496),,,"招商局以商船名义购买，原名秋瑾
改名率真后为两栖通讯指挥舰"
,,,购入舰,加拿大所拥有之英国城堡级护卫舰,HMCSBowmanville(K493),,,招商局以商船名义购买，原名元培(命名自蔡元培)，后为解放军所掳获，命名为广州
太字号驱逐舰,DE-827,太原,美国援售舰,勒德洛级护航驱逐舰,USS Riley (DE-579)（英语：USS Riley (DE-579)）,1968,1997,原编为驱逐舰，后改为巡防舰
山字级巡防舰,"215
815",天山,美国援售舰,美国Crosley级快速运输舰（英语：Crosley-class high speed transport）,USS Kleinsmith (APD-134)（英语：USS Kleinsmith (APD-134)）,1960,1995,美国Crosley级快速运输舰（英语：Crosley-class high speed transport）是由勒德洛级护航驱逐舰所改装而成
山字级巡防舰,"PF-32
PF-832",玉山,美国援售舰,美国Crosley级快速运输舰（英语：Crosley-class high speed transport）,USS Kinzer (APD-91)（英语：USS Kinzer (APD-91)）,1965,1999,
山字级巡防舰,"PF-33
PF-833",华山,美国援售舰,美国Crosley级快速运输舰（英语：Crosley-class high speed transport）,USS Donald W. Wolf (APD-129)（英语：USS Donald W. Wolf (APD-129)）,1965,1995,
