级别,舷号,舰名,类型,原舰别,原舰名及舷号,移交,退役,备注
驱逐舰,,灵甫,英国租借舰,英国狩猎(Hunt)级护航驱逐舰（英语：Hunt-class destroyer）,HMS Mendip (L60),1948,1949提前归还,之后英国移交给埃及、以色列
阳字号驱逐舰,DD-12,丹阳,日本赔偿舰,日本阳炎型驱逐舰,雪风,1947,1966,
阳字号驱逐舰,DD-15,信阳,日本赔偿舰,日本改松型驱逐舰,初梅,1947,1961,
阳字号驱逐舰,,华阳,日本赔偿舰,日本改松型驱逐舰,茑,1947,1950,未服役，当训练舰使用
阳字号驱逐舰,,沈阳,日本赔偿舰,日本峯风级驱逐舰,波风,1947,1960,未服役，当训练舰使用
阳字号驱逐舰,,汾阳,日本赔偿舰,日本秋月级驱逐舰,宵月,1947,1963,未服役，当训练舰使用
阳字号驱逐舰,,衡阳,日本赔偿舰,日本松型驱逐舰,枫,1947,1954,未服役，当训练舰使用
阳字号驱逐舰,,惠阳,日本赔偿舰,日本松型驱逐舰,杉,1947,1954,"1949,5于淡水搁浅报废，未服役"
太字号驱逐舰,DE-21,太康,美国援售舰,美国艾瓦兹(Evarts)级护航驱逐舰,USS Wyffels (DE-6),1945,1975,
太字号驱逐舰,DE-22,太平,美国援售舰,美国艾瓦兹(Evarts)级护航驱逐舰,USS Decker (DE-47),1945,1954,1954 于大陈海域遇袭 战后 由友舰太和拖带返回过程沉没
太字号驱逐舰,DE-23,太和,美国援售舰,美国坎农(cannon)级护航驱逐舰,USS Thomas (DE-102),1948,1975,
太字号驱逐舰,DE-24,太仓,美国援售舰,美国坎农(cannon)级护航驱逐舰,USS Breeman (DE-104),1948,1973,
太字号驱逐舰,DE-25,太湖,美国援售舰,美国坎农(cannon)级护航驱逐舰,USS Bostwick (DE-103),1948,1975,
太字号驱逐舰,DE-26,太昭,美国援售舰,美国坎农(cannon)级护航驱逐舰,USS Carter (DE-112),1948,1972,
,"DE-27
DE-959",太原,美国援售舰,Rudderow-class destroyer escort,USS Riley (DE-579),1968,1997,后改为巡防舰，DE-827（见巡防舰）
阳字号驱逐舰,DD-14,洛阳,美国援售舰,美国班森(Benson)级驱逐舰,USS Benson (DD-421),1954,1975,
阳字号驱逐舰,DD-15,汉阳,美国援售舰,美国班森(Benson)级驱逐舰,USS Hilary P. Jones (DD-427),1954,1975,
阳字号驱逐舰,DD-16,咸阳,美国援售舰,美国格里维斯(Gleaves)级驱逐舰,USS Rodman (DD-456),1955,,1969年在马祖触礁损毁，由同型舰替换
阳字号驱逐舰,DD-16,咸阳(2代),美国援售舰,"美国格里维斯(Gleaves)级驱逐舰 , 日本あさかぜ型护卫舰","USS Macomb (DD-458) , はたかぜ (DD-182)",1970,1972,1970年于日本海自退役后，移送至台湾替换损毁的原咸阳舰使用
阳字号驱逐舰,DD-17,南阳,美国援售舰,美国格里维斯(Gleaves)级驱逐舰,USS Plunkett (DD-431),1959,1973,
