火炮,产地,型号,数量,备注
M110A2自行火炮,美国,203 mm自行火炮,75辆,
"M109A2,A5自行火炮",美国,155 mm自行火炮,225辆,采购中。
M109A6自行火炮,美国,155 mm自行火炮,40辆,采购中。
M114A1（英语：M114 155 mm howitzer）,美国,155 mm牵引炮,250门,
T-65榴弹炮,中华民国,155 mm牵引炮,203门,仿制美军M114榴弹炮。
M115榴弹炮,美国,203 mm牵引炮,90门,
M1 240mm榴弹炮,美国,"240 mm 固定,牵引炮",30门,部署在金门、马祖。
M59加农炮,美国,155 mm牵引炮,155门,大部分已退役展示（花莲东大门夜市、台北八二三台海战役胜利纪念碑）。
63甲式105毫米榴弹炮,中华民国,105 mm牵引炮,650门,大部分已退役，仿制美军M101榴弹炮。
,,,,
57反坦克炮,美国,"57mm固定,牵引炮",未知,陆军金门防卫指挥部尚有数门堪用，仍服役中。
工蜂六型多管火箭,中华民国,117mm自走多管火箭,未知,
雷霆2000多管火箭系统,中华民国,自走多管火箭,43辆发射车,
M142高机动性多管火箭系统,美国,自走多管火箭,11辆M142 HIMARS发射车辆,采购中。
