名称,产地,型号,数量,备注
五十铃Elf,日本,通信指挥车,未知,
福特 E350加长型SUV,美国,卫星通信车,未知,搭载天频车载终端系统
奔驰3340,德国,应援机动指管车,未知,
奔驰UNIMOG U4000型,德国,97式核生化侦检车,10辆,2008 - 2010年，以总金额四亿四千多万元，采购之核生化侦检车，由国家中山科学研究院设计及研制。分配在各集团军化学兵群及化学兵学校。
奔驰UNIMOG U4000型,德国,99式核生化侦检车,10辆,由国家中山科学研究院设计及研制完成，分配在各集团军化学兵群及化学兵学校。
奔驰ACROS 3345 AK 多功能倾卸车,德国,多功能倾卸车,84辆,106到109年逐年编列6亿7769万3000元预算，采购84辆新型倾卸车，将逐步取代陆军旧型25吨倾卸车。
M35卡车,美国,2.5吨载重卡车,未知,
International 7400（英语：International WorkStar） 4X4,中华民国,3.5吨载重卡车,4788辆,由三阳工业与美国ITEC国际卡车引擎公司联手取得合约，总预算达新台币127亿余元，共生产4788辆，平均每辆造价265万余元，首批生产车于2005年交车。
Jeep Wrangler (JK)（英语：Jeep Wrangler (JK)#Military Jeep J8 (2007–present)）,中华民国,0.5吨轻型战术轮型车辆,3598辆,由三阳工业与以色列越野车厂ALI（Automatic Equipment Inc.）联手取得合约，总预算达新台币48亿余元，共生产3598辆，平均每辆造价135万余元，首批生产车于2015年交车。车型设计分为A型软顶、B型软顶加枪架、C型硬顶等3种。
三菱Outlander,日本,战备督导车,240,因轻型战术轮车采购延宕，2008年采购供营、旅级以上主官行政运用
哈雷500,美国,,未知,
三阳 野狼125,中华民国,侦查摩托车,未知,
光阳 KTR150,中华民国,侦查摩托车,未知,
蒙特奇MONTAGUE伞兵折叠车,美国,折叠侦搜、越野自行车,未知,重13.2千克，承载重量：227千克，具有廿七段变速的越野车，配赋于特战指挥部
M1070A1 HET重装备运输车（英语：Oshkosh M1070）,美国,HET运输车,6,用于运输M1A2T艾布兰主战坦克，尚未交付。
M1000 重装备运输板车（英语：Heavy Equipment Transport System）,美国,运输车,6,尚未交付。
